Season,Date submitted,Order number,Username,Order status,Due date,Charged,Charged amount,Charged by operator,Product name,Physical document,Copies,Paper size,Paper color,Paper type,Print color,Single or double sided,Binding,Stab binding Material,Saddle stitch binding Material,Saddle stitch binding Binding Edge,Stapling Position,Front cover,Front cover Print on cover,Back cover,Hole punching,Laminating,Cutting,Collating,Folding,Packaging,Material name,Material color,Print Information (DMC staff only) Square Inches,Print Information (DMC staff only) Printer,Print information Print mode,Print information Filament Weight (CLC/DMC Staff use only),Special Information (Operator Only) Job difficulty,Special Information (Operator Only) Machine,Delivery option,Delivery label,Delivery details,Proof required,Total color pages,Total grayscale pages
Fall 2025,12/3/2025 4:57,27024.0,sead5789,Completed - Ready For Pickup,12/4/2025,Yes,$22.63 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,4.0,0.0
Fall 2025,12/3/2025 4:36,27023.0,aita2410,Completed - Ready For Pickup,12/4/2025,Yes,$4.36 ,magl3911,Document,No,1.0,Tabloid (11 x 17),White,Cardstock,Color,Single sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,16.0,0.0
Fall 2025,12/3/2025 3:18,27022.0,gafr5404,Cancelled,12/4/2025,No,,,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/3/2025 3:03,27021.0,drtr6720,Completed - Ready For Pickup,12/4/2025,Yes,$2.82 ,eeto3049,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/3/2025 2:59,27020.0,maco3075,Completed - Ready For Pickup,12/4/2025,Yes,$5.64 ,magl3911,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/3/2025 2:07,27019.0,grst5137,Completed - Ready For Pickup,12/4/2025,Yes,$5.66 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/3/2025 2:00,27018.0,chth9785,Completed - Ready For Pickup,12/4/2025,Yes,$2.82 ,tani4057,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/3/2025 1:56,27017.0,zast7975,Completed - Ready For Pickup,12/4/2025,Yes,$11.31 ,macl5840,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,4.0,0.0
Fall 2025,12/3/2025 1:53,27016.0,ispe9112,Completed - Ready For Pickup,12/4/2025,Yes,$10.47 ,miba2167,Large-Format Poster,No,1.0,Custom,Generic Poster Paper,24 inch,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,4.0,0.0
Fall 2025,12/3/2025 1:48,27015.0,emwu9594,Completed - Ready For Pickup,12/4/2025,Yes,$28.28 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,10.0,0.0
Fall 2025,12/3/2025 1:45,27014.0,miba2167,Completed - Ready For Pickup,12/4/2025,Yes,$0.00 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/3/2025 1:43,27013.0,alkl8440,Completed - Ready For Pickup,12/4/2025,Yes,$2.82 ,magl3911,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/3/2025 1:35,27012.0,alhe7131,Completed - Ready For Pickup,12/4/2025,Yes,$2.82 ,tani4057,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 23:42,27011.0,mijo2997,Completed - Ready For Pickup,12/8/2025,Yes,$2.82 ,tani4057,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 23:28,27010.0,tyti2329,Completed - Ready For Pickup,12/4/2025,Yes,$2.82 ,tani4057,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 23:16,27009.0,adfr2331,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,tani4057,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 22:26,27008.0,hehe4980,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,tani4057,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 22:21,27007.0,gibe7378,Completed - Ready For Pickup,12/4/2025,Yes,$2.82 ,assh2097,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 22:08,27006.0,cuca4163,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,magl3911,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 22:04,27005.0,naro2108,Cancelled,12/3/2025,Yes,$7.85 ,magl3911,Large-Format Poster,No,1.0,Custom,Generic Poster Paper,24 inch,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,3.0,0.0
Fall 2025,12/2/2025 22:00,27004.0,cagi9706,Completed - Ready For Pickup,12/3/2025,Yes,$28.28 ,tani4057,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,5.0,0.0
Fall 2025,12/2/2025 21:36,27003.0,mani9328,Completed - Ready For Pickup,12/3/2025,Yes,$13.09 ,magl3911,Large-Format Poster,No,1.0,Custom,Generic Poster Paper,24 inch,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,5.0,0.0
Fall 2025,12/2/2025 20:44,27002.0,cahu3426,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,magl3911,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 20:21,27001.0,simi9356,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,macl5840,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 20:18,27000.0,trwh1883,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,magl3911,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 20:15,26999.0,mijo2997,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,magl3911,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 20:01,26998.0,lulo7998,Completed - Ready For Pickup,12/3/2025,Yes,$11.30 ,magl3911,Large-Format Poster,No,1.0,"ARCH E (36""x48"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 19:43,26997.0,save7426,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 19:05,26996.0,albu1070,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,magl3911,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 19:03,26995.0,mabr7216,Completed - Ready For Pickup,12/3/2025,Yes,$0.00 ,magl3911,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 18:38,26994.0,mawh2054,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 17:59,26993.0,juse8529,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 17:32,26992.0,cabe2826,Completed - Ready For Pickup,12/3/2025,Yes,$11.30 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH E (36""x48"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 17:28,26991.0,anes4655,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 17:26,26990.0,ispe9112,Completed - Ready For Pickup,12/3/2025,Yes,$2.62 ,bhvi9697,Large-Format Poster,No,1.0,Custom,Generic Poster Paper,24 inch,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 17:22,26989.0,anne7321,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 17:14,26988.0,kaah8779,Completed - Ready For Pickup,12/3/2025,Yes,$0.00 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 16:56,26986.0,tyby2653,Completed - Ready For Pickup,12/3/2025,Yes,$16.97 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,3.0,0.0
Fall 2025,12/2/2025 16:56,26985.0,hede2294,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,amco3931,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 16:37,26984.0,else8492,Completed - Ready For Pickup,12/3/2025,Yes,$1.36 ,magl3911,Document,No,5.0,Tabloid (11 x 17),White,Cardstock,Color,Single sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,6.0,0.0
Fall 2025,12/2/2025 16:34,26983.0,takl2073,Cancelled,12/3/2025,Yes,$15.54 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Satin Photo Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 16:23,26982.0,mibr3166,Completed - Ready For Pickup,12/4/2025,Yes,$2.82 ,amco3931,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 16:21,26981.0,jaac3340,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 16:11,26980.0,chle1237,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 16:03,26979.0,cabe2826,Completed - Ready For Pickup,12/3/2025,Yes,$11.30 ,amco3931,Large-Format Poster,No,1.0,"ARCH E (36""x48"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 16:00,26978.0,juse8529,Completed - Ready For Pickup,12/5/2025,Yes,$8.56 ,assh2097,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,Green,,,High Speed,272,5-10 hrs,Bambu X1 Carbon,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/2/2025 15:56,26977.0,emja1130,Completed - Ready For Pickup,12/3/2025,Yes,$16.97 ,amco3931,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,3.0,0.0
Fall 2025,12/2/2025 15:46,26976.0,save7426,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 15:31,26975.0,avgo3449,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,amco3931,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 15:26,26974.0,caki4302,Completed - Ready For Pickup,12/3/2025,Yes,$11.30 ,tani4057,Large-Format Poster,No,1.0,"ARCH E (36""x48"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 15:14,26973.0,roof5600,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 15:13,26972.0,vica5779,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 15:12,26971.0,leth3792,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,amco3931,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,36x24,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 15:10,26970.0,shfe3638,Completed - Ready For Pickup,12/3/2025,Yes,$0.00 ,magl3911,Document,No,1.0,Letter (8.5 x 11),White,Generic Printer Paper,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,46.0,0.0
Fall 2025,12/2/2025 15:08,26969.0,jaac3340,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 15:04,26968.0,rata3901,Completed - Ready For Pickup,12/3/2025,Yes,$0.00 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 15:00,26967.0,shfe3638,Cancelled,12/3/2025,No,,,Document,No,1.0,Letter (8.5 x 11),White,Generic Printer Paper,Color,Double sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,46.0,0.0
Fall 2025,12/2/2025 14:41,26963.0,iapr3705,Completed - Ready For Pickup,12/3/2025,Yes,$15.54 ,magl3911,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Satin Photo Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 13:46,26959.0,kama7991,Cancelled,12/5/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,Black,,,High Speed,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/2/2025 13:42,26958.0,avgo3449,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 13:34,26957.0,kama7991,Cancelled,12/5/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,Black,,,High Speed,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/2/2025 12:42,26954.0,wige6618,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 12:26,26953.0,naro2108,Completed - Ready For Pickup,12/3/2025,Yes,$2.62 ,bhvi9697,Large-Format Poster,No,1.0,Custom,Generic Poster Paper,24 inch,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 12:19,26952.0,mesc6099,Completed - Ready For Pickup,12/3/2025,Yes,$0.00 ,magl3911,Large-Format Poster,No,1.0,Custom,Generic Poster Paper,36 inch,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 12:19,26951.0,elfe7839,Completed - Ready For Pickup,12/3/2025,Yes,$11.30 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH E (36""x48"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 12:09,26950.0,etpo4940,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 12:08,26949.0,jazo5218,Cancelled,12/5/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,White,,,Standard,41.6,2-5 hrs,Prusa i3MK3S+,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/2/2025 11:53,26948.0,iapr3705,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 11:45,26947.0,alha6987,Completed - Ready For Pickup,12/3/2025,Yes,$22.60 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH E (36""x48"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,2.0,0.0
Fall 2025,12/2/2025 11:44,26946.0,roof5600,Cancelled,12/5/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,Teal,,,High Speed,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/2/2025 11:38,26945.0,coba2558,Completed - Ready For Pickup,12/3/2025,Yes,$11.30 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH E (36""x48"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 11:35,26944.0,nile8947,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 11:31,26943.0,roof5600,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 11:24,26942.0,owco9923,Completed - Ready For Pickup,12/3/2025,Yes,$6.18 ,magl3911,Document,No,1.0,Tabloid (11 x 17),White,Generic Printer Paper,Color,Single sided,,,,,,,,,,,,,,,,,,,,,,,Pick Up at DMC,,,,26.0,1.0
Fall 2025,12/2/2025 11:16,26941.0,saca5894,Completed - Ready For Pickup,12/3/2025,Yes,$0.01 ,bhvi9697,Large-Format Poster,No,1.0,Custom,Generic Poster Paper,36 inch,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 11:11,26940.0,racl9564,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 11:07,26939.0,saca5894,Completed - Ready For Pickup,12/3/2025,Yes,$11.30 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH E (36""x48"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 10:54,26938.0,mawi1177,Cancelled,12/5/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,White,,,High Speed,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/2/2025 10:51,26937.0,mawi1177,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 10:38,26936.0,akto2105,Cancelled,12/5/2025,Yes,$4.24 ,magl3911,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,White,,,High Speed,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/2/2025 10:24,26935.0,brdo3822,Completed - Ready For Pickup,12/3/2025,Yes,$2.82 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH C (18""x24"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 10:05,26934.0,owka8090,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 9:52,26933.0,asca1604,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
Fall 2025,12/2/2025 9:22,26931.0,avsa3064,Cancelled,12/5/2025,No,,,3D Print,No,1.0,,,,,,,,,,,,,,,,,,,,PLA,White,,,High Speed,,,,Pick Up at DMC,,,,0.0,0.0
Fall 2025,12/2/2025 6:28,26928.0,dafe4501,Completed - Ready For Pickup,12/3/2025,Yes,$5.66 ,bhvi9697,Large-Format Poster,No,1.0,"ARCH D (24""x36"")",Generic Poster Paper,,,,,,,,,,,,,,,,,,,,,HP DesignJet Z9 44 in.,,,,,Pick Up at DMC,,,,1.0,0.0
